2025-07-16 11:14:38 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:38 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:39 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:39 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:40 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:41 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:41 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:42 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:42 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:43 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:43 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:44 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:44 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:45 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:45 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:46 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:47 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:47 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:48 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:48 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:49 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:49 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:50 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:50 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:51 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:51 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:52 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:52 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:53 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:54 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:54 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:55 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:55 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:56 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:56 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:57 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:57 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:58 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:58 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:14:59 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:00 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:01 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:01 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:02 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:02 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:03 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:03 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:04 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:04 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:05 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:05 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:06 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:06 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:07 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:07 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:08 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:08 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:09 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:09 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:10 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:11 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:11 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:12 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:12 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:13 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:13 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:14 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:14 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:15 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
2025-07-16 11:15:15 | ERROR    | FaceTrackingSystem.tasks.camera_tasks:220 | Error processing frame from camera 0: 'FaceTrackingPipeline' object has no attribute 'detect_faces'
